"","GSM2550529_10SE2524.CEL.gz","GSM2550530_10SE2525.CEL.gz","GSM2550531_10SE2526.CEL.gz","GSM2550532_10SE2527.CEL.gz","GSM2550533_10SE2528.CEL.gz","GSM2550534_10SE2529.CEL.gz"
"Les.1504.1.A1_at",3.37562913439912,3.41507695489347,3.53317461930962,3.5351911673902,3.60670168310501,3.42589504393435
"Les.1505.1.A1_at",8.26618128006803,7.75578594937465,7.86330887430469,7.06932864190474,6.81402032082034,6.5573027150648
"Les.1506.1.S1_at",11.2322970063604,11.7241489093337,11.2288163907337,12.056328003345,12.037536651156,12.2960577309234
"Les.1507.1.S1_at",3.93502833509574,3.86918124178522,4.04657942980412,3.79675940687012,3.74454359917237,3.72774052450377
"Les.1507.2.S1_s_at",10.6937493576755,10.5315878887381,10.5177197968376,10.457433438891,10.4529486888308,10.5545988095588
"Les.1508.1.A1_at",10.2627215027075,9.96794184283219,10.0840975771316,9.57999731580538,9.53495980110018,9.52219157602984
"Les.1508.2.S1_at",9.63304828349456,9.4333905651589,9.30595588853217,8.93383161874123,8.90742547161347,8.98564596011688
"Les.1509.1.S1_at",10.1492025139823,9.85370537266965,10.0808450235505,10.1119298687326,9.79777938895061,9.91271526853181
"Les.1510.1.S1_at",7.48525390560536,7.63746168873699,7.46722168194526,7.78944324349425,7.68420287538359,7.70008155656525
"Les.1510.2.A1_at",4.92579721846049,4.99227873942247,4.85942795431086,5.14649836734649,5.23791335956148,5.3066761491328
"Les.1511.1.A1_at",9.79314862153684,10.0369436183206,9.82967182854413,9.88336150380328,10.0219291590966,10.0440999005437
"Les.1511.2.S1_at",10.8702508636358,11.0363033722422,10.9883273747115,11.1163536539729,11.2968379810075,11.1880573103432
"Les.1512.1.S1_at",11.5840359339211,11.4322255727055,11.5109894255057,11.4981575108504,11.53440820643,11.4120676337283
"Les.1514.1.S1_at",11.5676821294616,11.8959850999182,11.5879028175919,11.3875049562588,11.8010427714654,11.4462769741963
"Les.1516.1.A1_at",6.66009876818693,6.60811383439082,6.75045255065922,6.94997969760041,6.9136529273754,6.78653206306924
"Les.1516.1.S1_s_at",13.412572254943,13.1907138853344,13.2910290649632,13.4603007294787,13.2156608546607,13.3955485445085
"Les.1517.1.S1_at",8.68760746387512,8.71087464823486,8.70683218539689,8.47346638503805,8.51264184443332,8.55190518475836
"Les.1518.1.S1_at",5.54064705361872,5.47786767681294,5.422565960901,5.81505457133862,5.64536639107962,5.91407004381356
"Les.1518.2.A1_at",5.03501658644486,5.16595508545603,5.33840418090846,5.33159968712611,5.28009015733371,5.3990171527444
"Les.1519.1.A1_at",8.7853106742811,8.58734457620149,8.68184450236313,8.72062291702068,8.92415583966049,8.8435570396577
"Les.1523.1.S1_at",13.951858615605,13.9720546626823,13.9817646815905,14.0365116546593,13.8688016246239,14.0738244092785
"Les.1524.1.A1_at",5.11306799663218,5.09108879378555,5.29066336443626,5.96611344153002,5.01100864433419,6.62029502224893
"Les.1525.1.A1_at",3.43861142937164,3.58465370905759,3.4285018310261,3.64536316619182,3.47991713263756,3.5347104923474
"Les.1528.1.A1_s_at",12.7976550196402,12.7183393955414,12.3868069437211,12.1390174306701,12.5358750520842,11.6858813245075
"Les.1528.2.S1_at",11.3680003404474,11.3052409818721,11.1732845852078,10.5481640094198,10.8669899439769,10.2703256856009
"Les.1529.1.A1_at",6.75333945787305,6.50180798131755,6.74454798441408,6.96345349929109,6.67058458061809,7.00139625361816
"Les.153.1.A1_at",3.95600003125629,4.0304623873573,3.70660838751419,3.91094097957134,3.95923168630024,3.65496001555373
"Les.1531.1.S1_at",12.3975717049435,12.5101059033884,12.2693560805238,11.8000105666204,12.5058396077843,11.7005406590281
"Les.1532.1.S1_at",11.025463433497,11.0413371518767,10.9290299808353,11.3943944575294,11.4230890207228,11.4002140882242
"Les.1532.2.A1_at",3.9209423617521,3.89239510158027,3.81553383906704,3.80899186524032,3.70855167340545,3.67544713309794
"Les.1532.2.A1_s_at",11.3500742236872,11.2497544203646,11.5423894241961,10.8756607118037,11.0403413250055,10.830609059098
"Les.1532.3.S1_s_at",10.9534456014064,11.0022064223453,10.9771376678213,10.7770716824703,10.6424208245701,10.7794729538553
"Les.1536.1.A1_at",3.73411622875216,3.68509918816348,3.65603912552084,3.62057764861487,3.79862461168409,3.48525226212207
"Les.1538.1.A1_at",8.60288895011775,8.55701431501165,8.18172729058723,8.05443404057612,8.05329903333631,8.00211165797307
"Les.1539.1.A1_at",6.80401442741915,6.30625548640746,6.54796987468082,5.9487562381705,5.59808902690366,5.60941225550718
"Les.1541.1.A1_at",9.76036419641899,9.47890815991709,9.77069070197391,9.75592559001543,9.45174014269544,9.66276566589653
"Les.1542.1.A1_at",6.5215598697724,6.42080131326977,6.57221982292547,7.33896534984335,6.69259372408979,7.7078226254479
"Les.1543.1.A1_at",10.0893699002481,9.79687691622446,10.0597582582309,10.0664945199041,9.94970038892643,10.1233943189694
"Les.1543.2.S1_at",9.02386376945628,8.81093693649932,8.92145193337569,9.02193865445244,8.83469354644472,8.95761757422935
"Les.1544.1.A1_at",5.6687410122232,5.5380713040851,5.66104337558723,5.80332452352878,5.5516946471158,5.72664834998966
"Les.1546.1.A1_at",6.09018016541493,6.30625548640746,6.15384416905235,5.45361724164756,6.01695231172295,5.64862358583915
"Les.1549.1.A1_at",8.0696292479868,6.95664472087645,7.92787162329856,7.66982270313678,7.02127177765079,7.5535149183886
"Les.1553.1.A1_at",3.96584037102348,3.99846290816586,3.8389016841633,4.13595206594074,4.18169763361437,4.35067830105645
"Les.1555.1.A1_at",6.68224258243445,6.39656793491585,6.50068453637534,6.68641795975669,6.81321324646601,6.81436940380064
"Les.1556.1.A1_at",10.8749566807039,10.8961308285335,10.8304477575569,11.1886161843737,11.1232607882618,11.3595629749973
"Les.1557.1.A1_at",8.42858989818389,8.02372012251766,8.33061061899491,8.45076311111243,8.32100838913288,8.55932034111467
"Les.1558.1.S1_at",8.76900358819877,8.77005244559745,8.61949086549387,8.99192626841888,8.96000662988416,8.81228693373276
"Les.1558.2.A1_at",8.29107336907389,8.19343334568487,8.17829767777984,8.07427443335181,8.16370666593,8.13076212362031
"Les.1560.1.S1_at",13.4158345156564,13.2134537944191,13.2721876791205,13.1983721010204,12.9828135574797,13.2170368748486
"Les.1561.1.S1_at",9.44529333410648,9.99171252604546,9.67206986619414,10.0051115956764,10.1476178966911,10.2442404180193
"Les.1562.1.S1_at",9.22904348748051,8.73839799652852,8.94293875631379,7.90136577569187,8.33792042665155,7.64054671850269
"Les.1563.1.S1_at",6.96648333541053,6.97922266708191,6.85833952422613,6.48856824039761,6.60191298310887,6.36998766383382
"Les.1564.1.S1_s_at",6.61298391097941,6.71587302091734,6.4502851287601,6.57001883868103,6.83273130195437,6.72388086223403
"Les.1567.1.A1_at",8.0899487532515,8.04720514616108,8.06591632884897,7.85271044252475,8.00107062374311,7.89761999228618
